;integrations_themes;integrations_keywords
1;version,feature,app_lib_service,language;bokeh,sql,interactiv(e|ity),plot(ting),git(\W|$),js
3;platform,version,feature;version(ing)?\Wcontrol,git(\W|$),dashboard,docker
6;feature,app_lib_service;sphinx,slides,binder,slide
7;feature,app_lib_service;blog,pelican,phantomx,sphinx,ipython,shiny,dashboard
9;platform,feature;visuali(s|z)ation,api(\W|$),interactiv(e|ity),orchestrat,docker
10;feature;debug
11;feature;editor,debug,profil(e|ing)
12;app_lib_service;matplotlib,vispy
13;feature,app_lib_service;plot(ting),sage,3d
14;version,feature;git(\W|$),widgets,dashboard
19;,app_lib_service;,swift,spark
22;feature,app_lib_service;file manage,finder
23;feature;editor,debug
24;feature;ides?(\W|$),writing
26;;
31;app_lib_service,language;octave,R(\W|$),sage
32;app_lib_service;excel
33;feature;console
35;version,feature;state,version(ing)?\Wcontrol,history,share,git(\W|$),debug
36;version,app_lib_service,language;git(\W|$),d3,R(\W|$)
37;feature;file system,completion
39;version,feature;git(\W|$),instruments,search
40;feature,app_lib_service;index,pandas,code editing
41;version,feature;version(ing)?\Wcontrol,git(\W|$),interactiv(e|ity),figures
42;feature;refactor
46;app_lib_service;(ana)?conda
48;version,app_lib_service;git(\W|$),pandoc
49;app_lib_service;ggvis,d3
51;feature,app_lib_service;pdf,extensions
52;app_lib_service;bokeh
54;version,feature,app_lib_service;git(\W|$),matplotlib,visuali(s|z)ation,interactiv(e|ity),3d
59;app_lib_service;matplotlib,atom
60;version,app_lib_service;version(ing)?\Wcontrol,(ana)?conda
61;version,feature,app_lib_service;git(\W|$),command\W?line,atlassian,stash
66;version;git(\W|$),history
68;feature,app_lib_service,language;latex,spell\W?check,math,mathjax,nbconvert
69;app_lib_service;(ana)?conda,bokeh
71;app_lib_service,language;hive,sql,spark,scala
78;language;sas
79;version,feature,app_lib_service;sublime,git(\W|$),presentation
85;app_lib_service;matplotlib
87;app_lib_service;vim
90;feature,app_lib_service,language;d3,js,editor
92;version;git(\W|$)
93;platform,feature;database,widgets,deploy
95;version;git(\W|$)
97;version,feature;git(\W|$),editor
98;feature,app_lib_service;plot(ting),database,spark,bokeh
99;platform,feature;google,spreadsheet
101;version,feature,app_lib_service;git(\W|$),vim,production
102;language;C(\W|$),R(\W|$),python(3|2)?
103;version,feature,app_lib_service,language;wiki,java,pandas,interactiv(e|ity),git(\W|$),matplotlib
104;version,app_lib_service;git(\W|$),pyflakes
105;version,app_lib_service;neovim,git(\W|$),vim
109;version;git(\W|$)
110;feature;slide,presentation
118;platform,app_lib_service;aws,spark
120;language;R(\W|$)
121;version,feature,app_lib_service;git(\W|$),editor,vim,auto ?complet(e|ion)
123;version,feature;version(ing)?\Wcontrol,editor
126;platform,feature,app_lib_service;pdb,debug,aws
128;feature,app_lib_service;editor,virtualenv
129;app_lib_service;vim
131;version;git(\W|$)
133;language;julia,R(\W|$),i?julia
135;version,feature,app_lib_service;vim,sublime,editor,atom,git(\W|$),emacs
139;feature,app_lib_service;spyder,progress,test
140;feature;spell\W?check
141;app_lib_service,language;latex,pdf,spark,scala
142;app_lib_service;sublime,bbedit
144;app_lib_service;tensorflow,matplotlib
145;feature,app_lib_service;interactiv(e|ity),bokeh
146;version,app_lib_service;git(\W|$),d3
148;feature,app_lib_service;sublime,editor,atom
149;version;git(\W|$)
150;feature;widgets,dashboard
151;feature;plugin,grid,install,customiz,visuali(s|z)ation,visualization
152;version,feature;app creation,offline,d?vcs,widgets
153;feature,app_lib_service,language;visuali(s|z)ation,visualization,R(\W|$),spark
154;version;git(\W|$)
155;feature,app_lib_service,language;shiny,interactiv(e|ity),spark,R(\W|$)
156;app_lib_service;pdb
157;feature,app_lib_service;yt,matplotlib,cprofile
159;feature,app_lib_service;visuali(s|z)ation,matplotlib,(ana)?conda,visualization
160;version,feature,app_lib_service,language;bibliography,version(ing)?\Wcontrol,virtualenv,bibtex,latex,git(\W|$),(ana)?conda
163;version;git(\W|$)
