;roles_roles;roles_keywords
1;student,scientist;student,(astro|bio|geo)?physic(s|ist)?
5;scientist;(astro|bio|geo)?physic(s|ist)?
6;researcher,financial_analyst,educator;research(er)?,economi(c|st),professor
7;data_scientist,financial_analyst;data analys(t|is),financial (model(er|ing)|analyst)
9;researcher,developer;research(er)?,develop(er|ment)
10;educator;teach(er|ing)
11;developer;develop(er|ment)
15;financial_analyst;economi(c|st)
17;analyst;analytics
19;;
21;student;student,phd
22;researcher;research(er)?
23;researcher;research(er)?
26;student;student,phd
28;student;student
29;data_scientist;data(\s|-)scien(ce|tist)
31;financial_analyst;financial (model(er|ing)|analyst),economi(c|st)
33;independent;secretary
34;researcher,scientist;research(er)?,^((?!data).)*scientist
35;researcher,educator;research(er)?,teach(er|ing)
37;developer,data_scientist;develop(er|ment),data analys(t|is)
38;engineer;^((?!software).)*engineer
39;engineer;^((?!software).)*engineer
40;analyst;^((?!(data|financial)).)*analyst
41;scientist;neuroscientist,^((?!data).)*scientist
42;researcher;research(er)?
43;educator;teach(er|ing)
46;data_scientist;data(\s|-)scien(ce|tist)
48;developer;develop(er|ment)
49;student;student
51;engineer;^((?!software).)*engineer
52;developer;develop(er|ment)
53;scientist;(astro|bio|geo)?physic(s|ist)?
54;educator;professor
55;student;student
56;data_scientist;data(\s|-)scien(ce|tist)
59;data_scientist;data(\s|-)scien(ce|tist)
60;researcher;research(er)?
61;engineer;^((?!software).)*engineer
63;student,scientist;student,bioinformatic(s|ian)
64;scientist;(astro|bio|geo)?physic(s|ist)?
66;student;student
68;educator;instructor
69;developer;software (engineer|architect)
77;student;student
78;data_scientist;data(\s|-)scien(ce|tist)
79;data_scientist,independent;data(\s|-)scien(ce|tist),consultant
81;data_scientist;data analys(t|is)
83;scientist;^((?!data).)*scientist
85;scientist;(astro|bio|geo)?physic(s|ist)?
86;student;student
87;researcher;research(er)?
89;developer;software (engineer|architect)
92;data_scientist;data analys(t|is)
93;data_scientist;data analys(t|is)
94;engineer;^((?!software).)*engineer
95;data_scientist,educator;data analys(t|is),teach(er|ing)
96;researcher;research(er)?
97;student;student
98;data_scientist,analyst;data(\s|-)scien(ce|tist),^((?!(data|financial)).)*analyst
99;developer;develop(er|ment)
101;researcher;research(er)?
102;student,analyst;student,^((?!(data|financial)).)*analyst
103;data_scientist;data(\s|-)scien(ce|tist)
104;student;student
105;data_scientist;data(\s|-)scien(ce|tist)
107;student,financial_analyst;student,financial (model(er|ing)|analyst)
