;workflow_needs_not_addressed_themes;workflow_needs_not_addressed_keywords
1;development;plot,interact
5;collab,development;variable,interact,concurrent,visualization,visual
6;disseminate,version,development;slide,document,present,version control,organi(s|z),version
7;disseminate,version,reuse,development;interact,dashboard,version,manag(e|ing)
9;setup,disseminate,reuse,development;clean,automat(e|ing|ion),report,storage,script,deploy
10;development;complet(e|ion)
11;,reuse,development;,debug,long
15;reuse,development;workflow,chain,complex,script
19;,disseminate,development;,interact,dashboard,present,visual
21;disseminate,reuse;librar(y|ies),writing
22;reuse,development;large,script,refactor
23;reuse,development;debug,refactor,re-?us(e|able)
26;setup,version,development;environ,project,version control,version
28;setup,disseminate,reuse;complicate,report,document,customi(s|z)
29;setup,reuse,development;environ,large,complex,script,variable
31;setup;install
33;setup,development;script,config,startup
34;development;debug,variable,visualization,visual
35;collab,development;workflow,collab
37;,disseminate,reuse,development;,test,long,writing,librar(y|ies)
39;collab,disseminate,version,development;review,publi(sh|cation),collab,multi-?user,provenance
40;;
41;reuse,development;package,interact,clean
42;development;variable,script,refactor
48;setup,reuse,development;environ,librar(y|ies),development
49;;
51;disseminate;send
52;reuse;librar(y|ies)
53;disseminate,reuse,development;organi(s|z),complex,document,edit(ing|or)
54;setup,collab,reuse;setup,collab,manag(e|ing)
55;;
56;version;version control,version
60;,version;,version control,version
61;disseminate,development;slide,widgets
68;,disseminate;,document
77;reuse;large
78;setup;environ
79;disseminate,development;app(s|lication),product(ion|i(s|z)ation)?,present,development
83;,development;,debug
85;;
87;development;visualization,visual
89;setup,disseminate;embed,theme,document
93;disseminate,development;web,interact,widgets,deploy
94;collab;simultaneous
95;collab;collab
97;,version;,version control,version
98;collab,disseminate;shar(e|ing),export
99;reuse,development;workflow,batch
101;version;version control,version
102;;
103;reuse,development;brows,browse,javascript,graphic,interact,large,package
104;reuse;long
105;version;version control,git,version
107;reuse;portab,manag(e|ing)
109;disseminate,reuse;maintain,deploy
110;,development;,script
117;disseminate,version;git,access (control|rights)
119;development;edit(ing|or)
120;version,development;integrat(ing|ion),integration,git
121;disseminate,development;writing,script
123;version,development;version control,version,edit(ing|or)
126;disseminate,reuse,development;project,paper,manag(e|ing)
128;development;edit(ing|or)
135;disseminate,reuse,development;development,test,long,librar(y|ies),standalone
138;;
139;reuse,development;test,manag(e|ing)
141;,version;,version
143;version;version control,version
145;development;organi(s|z),variable
146;collab,version;collab,git,version
148;disseminate;gui
150;disseminate,reuse,development;interact,dashboard,report,manag(e|ing)
151;development;spell check
152;,version;,hg,git
153;development;parallel
154;reuse,development;debug,long,complex
155;,version;,version
157;,disseminate,reuse,development;test,,librar(y|ies),writing,development
159;,collab,disseminate,development;,edit(ing|or),multi-?user,app(s|lication),standalone,bundle,concurrent
160;setup,version,reuse,development;environ,install,manag(e|ing),visual,version control,visualization,version
163;collab;shar(e|ing)
167;disseminate,development;story,app(s|lication),interact,visual,visualization,deploy
173;disseminate,development;textbook,widgets
174;development;complet(e|ion)
176;development;brows
184;collab,disseminate,development;publi(sh|cation),collab,interact
186;disseminate,version,reuse;diff(\W|$),calling,document
198;,version,development;,version control,version,parallel
204;version,reuse;reproduc,diff(\W|$),version control,version
210;disseminate,reuse;documents,package,slide,document
211;collab,development;shar(e|ing),debug,complet(e|ion),multi-?user,widgets
216;;
220;,setup;,mobile
221;,version,development;,integrat(ing|ion),history,integration,edit(ing|or)
227;,development;,integrat(ing|ion),integration,input
229;version,development;debug,version,history
231;disseminate,reuse,development;large,writing,project,edit(ing|or)
235;reuse,development;automat(e|ing|ion),plot,script
237;disseminate,version,development;report,edit(ing|or),push,project,script,git
238;collab,disseminate,development;collab,document,development
239;development;script
243;disseminate,reuse,development;debug,app(s|lication),large,project,modul
246;,collab,reuse;,shar(e|ing),long
248;setup;get(ting)? data
249;disseminate,development;brows,browse,report,edit(ing|or)
250;,development;,integrat(ing|ion),integration
252;setup,,version;,backup,version
254;disseminate,development;standalone,integrat(ing|ion),integration,edit(ing|or)
258;development;interact,input
259;,disseminate,development;,paper,edit(ing|or)
261;development;ide($|\W)
262;;
263;version,development;interact,git
264;setup,reuse;state,modul
267;setup,disseminate,development;writing,mobile,format,present
268;disseminate,reuse,development;plot,export,interact,visual,librar(y|ies),visualization,clean
270;disseminate,development;brows,browse,document
271;,development;,variable,edit(ing|or)
273;,development;,commands,keyboard
275;development;development
277;reuse;importing
278;disseminate,reuse,development;test,long,package,pages,script
279;,collab,disseminate;,group,deploy
282;version,reuse;parameter,provenance
284;disseminate,version,reuse;long,writing,version control,version
286;collab,version;collab,version control,version
290;;
293;reuse,development;manag(e|ing),long,modul,development
295;;
298;,development;,debug
300;reuse,development;test,librar(y|ies),re-?us(e|able),modul
303;version,development;format,git
305;collab,disseminate,reuse;librar(y|ies),writing,collab,manuscript
309;reuse,development;large,librar(y|ies),project
310;,reuse,development;,automat(e|ing|ion),test
311;disseminate;product(ion|i(s|z)ation)?
312;,disseminate,development;,app(s|lication),linear
314;development;project
316;,disseminate,development;,app(s|lication),ide($|\W)
323;development;edit(ing|or)
